Date,Count,Top,Type,Tickers,Weights
2018-09-24,7,AAPL,Rebal,AAPL|MSFT|AMZN|META|GOOG|GOOGL|CSCO,0.296250|0.198594|0.176362|0.100820|0.093172|0.080754|0.054048
2018-12-24,7,AAPL,Recon,AAPL|MSFT|AMZN|GOOG|META|GOOGL|CSCO,0.263687|0.218373|0.163432|0.103390|0.100856|0.089912|0.060350
2019-03-18,7,AAPL,Rebal,AAPL|AMZN|MSFT|GOOG|META|GOOGL|CSCO,0.267292|0.214444|0.202013|0.093632|0.088644|0.080481|0.053495
2019-06-24,7,AAPL,Rebal,AAPL|MSFT|AMZN|META|GOOG|GOOGL|CSCO,0.261354|0.219136|0.217265|0.098119|0.081338|0.069736|0.053052
2019-09-23,7,AAPL,Rebal,AAPL|MSFT|AMZN|META|GOOG|GOOGL|CSCO,0.282718|0.217245|0.198293|0.093120|0.088038|0.075440|0.045146
2019-12-23,7,AAPL,Recon,AAPL|MSFT|AMZN|META|GOOGL|GOOG|NVDA,0.269917|0.220559|0.178113|0.091915|0.086064|0.086064|0.067367
2020-03-23,7,AMZN,Rebal,AMZN|MSFT|AAPL|GOOG|META|GOOGL|INTC,0.251223|0.246026|0.200470|0.088272|0.081948|0.077708|0.054354
2020-06-22,7,MSFT,Rebal,MSFT|AMZN|AAPL|META|GOOG|GOOGL|INTC,0.247457|0.243647|0.218633|0.090013|0.082480|0.072720|0.045050
2020-09-21,7,AAPL,Rebal,AAPL|AMZN|MSFT|META|GOOG|GOOGL|NVDA,0.249282|0.246548|0.232357|0.086613|0.075418|0.066501|0.043280
2020-12-21,8,AAPL,Recon,AAPL|AMZN|MSFT|META|GOOG|GOOGL|PYPL|CMCSA,0.239129|0.219503|0.210473|0.078272|0.075351|0.075351|0.051632|0.050289
2021-03-22,8,AAPL,Rebal,AAPL|MSFT|AMZN|META|GOOGL|GOOG|NVDA|TSLA,0.230435|0.216206|0.203000|0.090841|0.075450|0.073015|0.058175|0.052879
2021-06-21,8,AAPL,Rebal,AAPL|MSFT|AMZN|META|GOOG|GOOGL|NVDA|ADBE,0.219254|0.213650|0.199670|0.091099|0.080247|0.080190|0.072038|0.043852
2021-09-20,8,MSFT,Rebal,MSFT|AAPL|AMZN|META|GOOGL|GOOG|NVDA|TSLA,0.221741|0.219310|0.179329|0.090146|0.084417|0.081551|0.076312|0.047193
2021-12-20,7,AAPL,Recon,AAPL|MSFT|AMZN|NVDA|GOOG|GOOGL|META,0.250889|0.232280|0.171771|0.096385|0.082892|0.082892|0.082892
2022-03-21,7,AAPL,Rebal,AAPL|MSFT|AMZN|NVDA|GOOG|GOOGL|META,0.249063|0.216869|0.196994|0.098320|0.092348|0.086949|0.059458
2022-06-20,7,AAPL,Rebal,AAPL|MSFT|AMZN|GOOG|GOOGL|NVDA|META,0.263220|0.238711|0.171886|0.096823|0.090802|0.077491|0.061067
2022-09-19,7,AAPL,Rebal,AAPL|MSFT|AMZN|GOOG|GOOGL|NVDA|META,0.295184|0.225265|0.192391|0.088905|0.083308|0.062298|0.052649
2022-12-19,10,AAPL,Recon,AAPL|MSFT|AMZN|GOOG|NVDA|GOOGL|TSLA|PEP|TMUS|AVGO,0.247025|0.216589|0.127785|0.074413|0.073796|0.069697|0.065846|0.043922|0.040929|0.039999
